Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region
JS-15940,Joni Sundaresam,Home Office,United States,Park Ridge,Illinois,60068,Central
DS-13180,David Smith,Corporate,United States,Amarillo,Texas,79109,Central
JP-15520,Jeremy Pistek,Consumer,United States,San Francisco,California,94110,West
JE-15475,Jeremy Ellison,Consumer,United States,Troy,New York,12180,East
MT-18070,Michelle Tran,Home Office,United States,Los Angeles,California,90045,West
RO-19780,Rose O'Brian,Consumer,United States,Memphis,Tennessee,38109,South
SC-20095,Sanjit Chand,Consumer,United States,Costa Mesa,California,92627,West
MY-17380,Maribeth Yedwab,Corporate,United States,Parker,Colorado,80134,West
LS-17245,Lynn Smith,Consumer,United States,Gladstone,Missouri,64118,Central
MC-17605,Matt Connell,Corporate,United States,Detroit,Michigan,48234,Central
PH-18790,Patricia Hirasaki,Home Office,United States,Lakeland,Florida,33801,South
KB-16240,Karen Bern,Corporate,United States,Los Angeles,California,90036,West
JC-15340,Jasper Cacioppo,Consumer,United States,Los Angeles,California,90032,West
DK-12985,Darren Koutras,Consumer,United States,Henderson,Kentucky,42420,South
PG-18895,Paul Gonzalez,Consumer,United States,Fort Worth,Texas,76106,Central
BD-11320,Bill Donatelli,Consumer,United States,San Francisco,California,94110,West
RC-19960,Ryan Crowe,Consumer,United States,Jacksonville,Florida,32216,South
OT-18730,Olvera Toch,Consumer,United States,Los Angeles,California,90045,West
LP-17080,Liz Pelletier,Consumer,United States,San Francisco,California,94110,West
CA-12775,Cynthia Arntzen,Consumer,United States,Tampa,Florida,33614,South
EB-13840,Ellis Ballard,Corporate,United States,Seattle,Washington,98105,West
CS-11950,Carlos Soltero,Consumer,United States,Chicago,Illinois,60610,Central
BD-11725,Bruce Degenhardt,Consumer,United States,Richmond,Kentucky,40475,South
LR-16915,Lena Radford,Consumer,United States,San Diego,California,92024,West
AS-10240,Alan Shonely,Consumer,United States,Tampa,Florida,33614,South
NG-18355,Nat Gilpin,Corporate,United States,New York City,New York,10011,East
SF-20965,Sylvia Foulston,Corporate,United States,Dearborn,Michigan,48126,Central
MO-17800,Meg O'Connel,Home Office,United States,New York City,New York,10009,East
DJ-13420,Denny Joy,Corporate,United States,Warner Robins,Georgia,31088,South
RB-19465,Rick Bensley,Home Office,United States,Vallejo,California,94591,West
JD-16150,Justin Deggeller,Corporate,United States,Minneapolis,Minnesota,55407,Central
AR-10825,Anthony Rawles,Corporate,United States,Vancouver,Washington,98661,West
EH-14125,Eugene Hildebrand,Home Office,United States,Aurora,Illinois,60505,Central
CB-12025,Cassandra Brandow,Consumer,United States,Arlington,Texas,76017,Central
RP-19390,Resi Plking,Consumer,United States,Cleveland,Ohio,44105,East
MO-17800,Meg O'Connel,Home Office,United States,Chicago,Illinois,60653,Central
CD-11980,Carol Darley,Consumer,United States,Tyler,Texas,75701,Central
RA-19285,Ralph Arnett,Consumer,United States,New York City,New York,10035,East
NP-18325,Naresj Patel,Consumer,United States,Waynesboro,Virginia,22980,South
Dl-13600,Dorris liebe,Corporate,United States,Cleveland,Ohio,44105,East
AS-10285,Alejandro Savely,Corporate,United States,Seattle,Washington,98103,West
JK-15370,Jay Kimmel,Consumer,United States,Long Beach,California,90805,West
DP-13165,David Philippe,Consumer,United States,New York City,New York,10035,East
SV-20365,Seth Vernon,Consumer,United States,Dover,Delaware,19901,East
KC-16540,Kelly Collister,Consumer,United States,Newark,Ohio,43055,East
CK-12325,Christine Kargatis,Home Office,United States,Orem,Utah,84057,West
MP-17965,Michael Paige,Corporate,United States,Detroit,Michigan,48205,Central
MR-17545,Mathew Reese,Home Office,United States,Philadelphia,Pennsylvania,19140,East
EG-13900,Emily Grady,Consumer,United States,Oceanside,New York,11572,East
DS-13030,Darrin Sayre,Home Office,United States,Seattle,Washington,98115,West
MH-17785,Maya Herman,Corporate,United States,San Diego,California,92105,West
RF-19735,Roland Fjeld,Consumer,United States,Trenton,Michigan,48183,Central
MS-17830,Melanie Seite,Consumer,United States,Los Angeles,California,90036,West
NB-18655,Nona Balk,Corporate,United States,Jacksonville,Florida,32216,South
AJ-10795,Anthony Johnson,Corporate,United States,Saint Petersburg,Florida,33710,South
LE-16810,Laurel Elliston,Consumer,United States,Arlington,Virginia,22204,South
BV-11245,Benjamin Venier,Corporate,United States,Des Moines,Iowa,50315,Central
NZ-18565,Nick Zandusky,Home Office,United States,San Francisco,California,94110,West
BM-11785,Bryan Mills,Consumer,United States,Columbus,Ohio,43229,East
LT-17110,Liz Thompson,Consumer,United States,Lancaster,California,93534,West
SA-20830,Sue Ann Reed,Consumer,United States,Richmond,Virginia,23223,South
CD-11920,Carlos Daly,Consumer,United States,Lake Elsinore,California,92530,West
HW-14935,Helen Wasserman,Corporate,United States,San Diego,California,92105,West
GM-14440,Gary McGarr,Consumer,United States,San Francisco,California,94122,West
AA-10375,Allen Armold,Consumer,United States,Omaha,Nebraska,68104,Central
ZC-21910,Zuschuss Carroll,Consumer,United States,Edmonds,Washington,98026,West
PJ-19015,Pauline Johnson,Consumer,United States,Santa Ana,California,92704,West
CA-12775,Cynthia Arntzen,Consumer,United States,Philadelphia,Pennsylvania,19140,East
JE-15745,Joel Eaton,Consumer,United States,Florence,Kentucky,41042,South
BM-11650,Brian Moss,Corporate,United States,New York City,New York,10035,East
AF-10885,Art Foster,Consumer,United States,Louisville,Kentucky,40214,South
GA-14725,Guy Armstrong,Consumer,United States,Lorain,Ohio,44052,East
GT-14710,Greg Tran,Consumer,United States,New York City,New York,10035,East
AJ-10780,Anthony Jacobs,Corporate,United States,Springfield,Virginia,22153,South
CC-12430,Chuck Clark,Home Office,United States,Concord,New Hampshire,3301,East
HP-14815,Harold Pawlan,Home Office,United States,New York City,New York,10024,East
PM-19135,Peter McVee,Home Office,United States,Detroit,Michigan,48227,Central
LL-16840,Lauren Leatherbury,Consumer,United States,Rochester,New York,14609,East
PO-18865,Patrick O'Donnell,Consumer,United States,New York City,New York,10009,East
SC-20050,Sample Company A,Home Office,United States,Norwich,Connecticut,6360,East
BM-11650,Brian Moss,Corporate,United States,Milwaukee,Wisconsin,53209,Central
KL-16555,Kelly Lampkin,Corporate,United States,San Antonio,Texas,78207,Central
RW-19630,Rob Williams,Corporate,United States,Torrance,California,90503,West
CA-12775,Cynthia Arntzen,Consumer,United States,Mesa,Arizona,85204,West
RB-19795,Ross Baird,Home Office,United States,Philadelphia,Pennsylvania,19120,East
KH-16360,Katherine Hughes,Consumer,United States,Philadelphia,Pennsylvania,19143,East
GH-14665,Greg Hansen,Consumer,United States,Round Rock,Texas,78664,Central
DL-12925,Daniel Lacy,Consumer,United States,Oceanside,California,92054,West
LW-16990,Lindsay Williams,Corporate,United States,San Francisco,California,94110,West
DL-13315,Delfina Latchford,Consumer,United States,Philadelphia,Pennsylvania,19134,East
EB-13870,Emily Burns,Consumer,United States,New York City,New York,10035,East
TZ-21580,Tracy Zic,Consumer,United States,Louisville,Colorado,80027,West
JG-15805,John Grady,Corporate,United States,Auburn,New York,13021,East
SL-20155,Sara Luxemburg,Home Office,United States,Jacksonville,Florida,32216,South
RD-19585,Rob Dowd,Consumer,United States,Henderson,Kentucky,42420,South
RH-19495,Rick Hansen,Consumer,United States,New York City,New York,10024,East
VG-21790,Vivek Gonzalez,Consumer,United States,San Diego,California,92037,West
PF-19165,Philip Fox,Consumer,United States,Olympia,Washington,98502,West
JS-15880,John Stevenson,Consumer,United States,Seattle,Washington,98103,West
KM-16225,Kalyca Meade,Corporate,United States,New York City,New York,10011,East
GT-14710,Greg Tran,Consumer,United States,Washington,District of Columbia,20016,East
LA-16780,Laura Armstrong,Corporate,United States,Hackensack,New Jersey,7601,East
EL-13735,Ed Ludwig,Home Office,United States,Jefferson City,Missouri,65109,Central
RD-19660,Robert Dilbeck,Home Office,United States,Saint Peters,Missouri,63376,Central
MO-17500,Mary O'Rourke,Consumer,United States,New York City,New York,10035,East
SN-20710,Steve Nguyen,Home Office,United States,Rockford,Illinois,61107,Central
ZC-21910,Zuschuss Carroll,Consumer,United States,Miami,Florida,33142,South
DG-13300,Deirdre Greer,Corporate,United States,Philadelphia,Pennsylvania,19134,East
NF-18595,Nicole Fjeld,Home Office,United States,New York City,New York,10009,East
JD-16060,Julia Dunbar,Consumer,United States,Houston,Texas,77095,Central
BD-11620,Brian DeCherney,Consumer,United States,San Francisco,California,94122,West
BT-11395,Bill Tyler,Corporate,United States,Detroit,Michigan,48227,Central
KD-16270,Karen Daniels,Consumer,United States,Yonkers,New York,10701,East
LW-16990,Lindsay Williams,Corporate,United States,Monroe,North Carolina,28110,South
NS-18640,Noel Staavos,Corporate,United States,Los Angeles,California,90049,West
PV-18985,Paul Van Hugh,Home Office,United States,San Francisco,California,94122,West
EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041,Central
RA-19915,Russell Applegate,Consumer,United States,Encinitas,California,92024,West
HL-15040,Hunter Lopez,Consumer,United States,Jonesboro,Arkansas,72401,South
BD-11605,Brian Dahlen,Consumer,United States,Springfield,Virginia,22153,South
AP-10915,Arthur Prichep,Consumer,United States,Los Angeles,California,90045,West
CB-12535,Claudia Bergmann,Corporate,United States,Cuyahoga Falls,Ohio,44221,East
PS-19045,Penelope Sewall,Home Office,United States,Harrisonburg,Virginia,22801,South
GB-14530,George Bell,Corporate,United States,Los Angeles,California,90004,West
DL-13315,Delfina Latchford,Consumer,United States,New York City,New York,10035,East
JE-15745,Joel Eaton,Consumer,United States,Rockville,Maryland,20852,East
BT-11530,Bradley Talbott,Home Office,United States,Los Angeles,California,90036,West
NG-18355,Nat Gilpin,Corporate,United States,Coral Springs,Florida,33065,South
ZC-21910,Zuschuss Carroll,Consumer,United States,Houston,Texas,77041,Central
LS-16945,Linda Southworth,Corporate,United States,Denver,Colorado,80219,West
SW-20755,Steven Ward,Corporate,United States,New York City,New York,10009,East
SP-20620,Stefania Perrino,Corporate,United States,Philadelphia,Pennsylvania,19134,East
BM-11140,Becky Martin,Consumer,United States,New York City,New York,10024,East
ZC-21910,Zuschuss Carroll,Consumer,United States,Los Angeles,California,90045,West
PG-18820,Patrick Gardner,Consumer,United States,Boynton Beach,Florida,33437,South
GM-14680,Greg Matthias,Consumer,United States,Seattle,Washington,98105,West
NP-18700,Nora Preis,Consumer,United States,Fresno,California,93727,West
DJ-13630,Doug Jacobs,Consumer,United States,New York City,New York,10009,East
MH-18115,Mick Hernandez,Home Office,United States,Chester,Pennsylvania,19013,East
CC-12220,Chris Cortes,Consumer,United States,La Porte,Indiana,46350,Central
JC-16105,Julie Creighton,Corporate,United States,Los Angeles,California,90045,West
BG-11695,Brooke Gillingham,Corporate,United States,Louisville,Colorado,80027,West
MS-17710,Maurice Satty,Consumer,United States,Fort Worth,Texas,76106,Central
TB-21355,Todd Boyes,Corporate,United States,New York City,New York,10009,East
LC-17140,Logan Currie,Consumer,United States,Springfield,Virginia,22153,South
TC-21535,Tracy Collins,Home Office,United States,Arlington,Virginia,22204,South
CS-12460,Chuck Sachs,Consumer,United States,Columbus,Georgia,31907,South
RC-19825,Roy Collins,Consumer,United States,Pasadena,California,91104,West
PK-19075,Pete Kriz,Consumer,United States,Columbus,Ohio,43229,East
HG-14965,Henry Goldwyn,Corporate,United States,Los Angeles,California,90032,West
AD-10180,Alan Dominguez,Home Office,United States,Philadelphia,Pennsylvania,19120,East
LD-17005,Lisa DeCherney,Consumer,United States,San Francisco,California,94109,West
JF-15190,Jamie Frazer,Consumer,United States,Los Angeles,California,90008,West
CM-12115,Chad McGuire,Consumer,United States,New York City,New York,10011,East
BP-11290,Beth Paige,Consumer,United States,Evanston,Illinois,60201,Central
LW-16990,Lindsay Williams,Corporate,United States,San Francisco,California,94109,West
LB-16735,Larry Blacks,Consumer,United States,Fort Worth,Texas,76106,Central
KT-16465,Kean Takahito,Consumer,United States,Los Angeles,California,90049,West
AB-10600,Ann Blume,Corporate,United States,Tucson,Arizona,85705,West
SZ-20035,Sam Zeldin,Home Office,United States,Pico Rivera,California,90660,West
JR-15670,Jim Radford,Consumer,United States,Colorado Springs,Colorado,80906,West
CA-12265,Christina Anderson,Consumer,United States,Provo,Utah,84604,West
JK-16120,Julie Kriz,Home Office,United States,Aurora,Illinois,60505,Central
PP-18955,Paul Prost,Home Office,United States,Smyrna,Georgia,30080,South
CK-12760,Cyma Kinney,Corporate,United States,Aurora,Illinois,60505,Central
GM-14455,Gary Mitchum,Home Office,United States,Columbus,Ohio,43229,East
SD-20485,Shirley Daniels,Home Office,United States,Philadelphia,Pennsylvania,19143,East
KD-16270,Karen Daniels,Consumer,United States,New York City,New York,10024,East
AB-10105,Adrian Barton,Consumer,United States,Phoenix,Arizona,85023,West
JD-15895,Jonathan Doherty,Corporate,United States,New York City,New York,10035,East
BT-11305,Beth Thompson,Home Office,United States,Costa Mesa,California,92627,West
SV-20815,Stuart Van,Corporate,United States,Houston,Texas,77041,Central
IM-15070,Irene Maddox,Consumer,United States,Florence,Alabama,35630,South
JE-15745,Joel Eaton,Consumer,United States,Amarillo,Texas,79109,Central
SD-20485,Shirley Daniels,Home Office,United States,Chicago,Illinois,60653,Central
ME-17320,Maria Etezadi,Home Office,United States,Columbus,Georgia,31907,South
AA-10480,Andrew Allen,Consumer,United States,Middletown,Connecticut,6457,East
MB-18085,Mick Brown,Consumer,United States,Vineland,New Jersey,8360,East
LC-16930,Linda Cazamias,Corporate,United States,Pasadena,Texas,77506,Central
MB-17305,Maria Bertelson,Consumer,United States,Glendale,Arizona,85301,West
DK-12835,Damala Kotsonis,Corporate,United States,Detroit,Michigan,48234,Central
NM-18520,Neoma Murray,Consumer,United States,Houston,Texas,77036,Central
CM-12655,Corinna Mitchell,Home Office,United States,Los Angeles,California,90008,West
TS-21370,Todd Sumrall,Corporate,United States,New York City,New York,10035,East
JW-15220,Jane Waco,Corporate,United States,Vancouver,Washington,98661,West
AT-10435,Alyssa Tate,Home Office,United States,Los Angeles,California,90045,West
PC-19000,Pauline Chand,Home Office,United States,Los Angeles,California,90004,West
JM-15535,Jessica Myrick,Consumer,United States,Los Angeles,California,90036,West
AI-10855,Arianne Irving,Consumer,United States,Philadelphia,Pennsylvania,19120,East
MC-17845,Michael Chen,Consumer,United States,North Las Vegas,Nevada,89031,West
GH-14425,Gary Hwang,Consumer,United States,Tucson,Arizona,85705,West
CJ-12010,Caroline Jumper,Consumer,United States,Allentown,Pennsylvania,18103,East
MP-18175,Mike Pelletier,Home Office,United States,Laguna Niguel,California,92677,West
CL-11890,Carl Ludwig,Consumer,United States,Everett,Massachusetts,2149,East
CK-12205,Chloris Kastensmidt,Consumer,United States,Columbus,Ohio,43229,East
PC-18745,Pamela Coakley,Corporate,United States,Watertown,New York,13601,East
JE-15475,Jeremy Ellison,Consumer,United States,Seattle,Washington,98103,West
SG-20470,Sheri Gordon,Consumer,United States,New York City,New York,10011,East
SC-20095,Sanjit Chand,Consumer,United States,Los Angeles,California,90004,West
MC-18100,Mick Crebagga,Consumer,United States,El Paso,Texas,79907,Central
NP-18325,Naresj Patel,Consumer,United States,New York City,New York,10024,East
DP-13390,Dennis Pardue,Home Office,United States,Peoria,Illinois,61604,Central
MD-17350,Maribeth Dona,Consumer,United States,Columbus,Ohio,43229,East
MY-17380,Maribeth Yedwab,Corporate,United States,New York City,New York,10011,East
AB-10150,Aimee Bixby,Consumer,United States,Carrollton,Texas,75007,Central
GB-14530,George Bell,Corporate,United States,Dover,Delaware,19901,East
ML-17395,Marina Lichtenstein,Corporate,United States,Los Angeles,California,90008,West
JC-15385,Jenna Caffey,Consumer,United States,Kent,Washington,98031,West
MC-17275,Marc Crier,Consumer,United States,Lafayette,Louisiana,70506,South
AS-10240,Alan Shonely,Consumer,United States,Cleveland,Ohio,44105,East
TB-21280,Toby Braunhardt,Consumer,United States,Washington,District of Columbia,20016,East
HL-15040,Hunter Lopez,Consumer,United States,Milwaukee,Wisconsin,53209,Central
MM-17920,Michael Moore,Consumer,United States,New York City,New York,10011,East
SF-20965,Sylvia Foulston,Corporate,United States,Houston,Texas,77041,Central
SB-20290,Sean Braxton,Corporate,United States,Philadelphia,Pennsylvania,19134,East
CB-12535,Claudia Bergmann,Corporate,United States,San Francisco,California,94110,West
AW-10840,Anthony Witt,Consumer,United States,Philadelphia,Pennsylvania,19140,East
TS-21610,Troy Staebel,Consumer,United States,Philadelphia,Pennsylvania,19143,East
HZ-14950,Henia Zydlo,Consumer,United States,Columbus,Ohio,43229,East
SC-20725,Steven Cartwright,Consumer,United States,Seattle,Washington,98115,West
ND-18370,Natalie DeCherney,Consumer,United States,New York City,New York,10035,East
JK-15205,Jamie Kunitz,Consumer,United States,San Francisco,California,94122,West
MM-18055,Michelle Moray,Consumer,United States,Chicago,Illinois,60610,Central
DC-13285,Debra Catini,Consumer,United States,San Francisco,California,94110,West
BN-11515,Bradley Nguyen,Consumer,United States,New York City,New York,10011,East
KD-16345,Katherine Ducich,Consumer,United States,Chicago,Illinois,60623,Central
FM-14215,Filia McAdams,Corporate,United States,Dublin,Ohio,43017,East
MC-18100,Mick Crebagga,Consumer,United States,Philadelphia,Pennsylvania,19140,East
MO-17800,Meg O'Connel,Home Office,United States,San Antonio,Texas,78207,Central
JW-15955,Joni Wasserman,Consumer,United States,Oakland,California,94601,West
AG-10900,Arthur Gainer,Consumer,United States,San Diego,California,92105,West
ML-17755,Max Ludwig,Home Office,United States,Suffolk,Virginia,23434,South
RP-19390,Resi Plking,Consumer,United States,Madison,Wisconsin,53711,Central
RM-19375,Raymond Messe,Consumer,United States,San Jose,California,95123,West
AS-10135,Adrian Shami,Home Office,United States,Auburn,Washington,98002,West
HK-14890,Heather Kirkland,Corporate,United States,Chicago,Illinois,60610,Central
FO-14305,Frank Olsen,Consumer,United States,Harrisonburg,Virginia,22801,South
BT-11680,Brian Thompson,Consumer,United States,Newark,Ohio,43055,East
SP-20620,Stefania Perrino,Corporate,United States,Los Angeles,California,90045,West
JL-15235,Janet Lee,Consumer,United States,Chicago,Illinois,60623,Central
EA-14035,Erin Ashbrook,Corporate,United States,Chicago,Illinois,60623,Central
SA-20830,Sue Ann Reed,Consumer,United States,Redmond,Oregon,97756,West
SL-20155,Sara Luxemburg,Home Office,United States,Muskogee,Oklahoma,74403,Central
GB-14530,George Bell,Corporate,United States,Monroe,North Carolina,28110,South
BF-10975,Barbara Fisher,Corporate,United States,Charlotte,North Carolina,28205,South
KH-16330,Katharine Harms,Corporate,United States,Bowling Green,Kentucky,42104,South
FA-14230,Frank Atkinson,Corporate,United States,San Antonio,Texas,78207,Central
DA-13450,Dianna Arnett,Home Office,United States,Washington,District of Columbia,20016,East
FH-14275,Frank Hawley,Corporate,United States,Los Angeles,California,90004,West
GM-14440,Gary McGarr,Consumer,United States,New York City,New York,10009,East
NC-18625,Noah Childs,Corporate,United States,Aurora,Colorado,80013,West
AH-10075,Adam Hart,Corporate,United States,Henderson,Nevada,89015,West
ME-18010,Michelle Ellison,Corporate,United States,San Francisco,California,94122,West
BP-11230,Benjamin Patterson,Consumer,United States,Spokane,Washington,99207,West
CJ-12010,Caroline Jumper,Consumer,United States,Long Beach,New York,11561,East
JG-15160,James Galang,Consumer,United States,Los Angeles,California,90049,West
LF-17185,Luke Foster,Consumer,United States,New York City,New York,10011,East
PG-18895,Paul Gonzalez,Consumer,United States,San Francisco,California,94122,West
TB-21520,Tracy Blumstein,Consumer,United States,Fairfield,Ohio,45014,East
RA-19945,Ryan Akin,Consumer,United States,Miami,Florida,33178,South
DK-12835,Damala Kotsonis,Corporate,United States,Springfield,Oregon,97477,West
RW-19540,Rick Wilson,Corporate,United States,Los Angeles,California,90008,West
DB-13660,Duane Benoit,Consumer,United States,Oceanside,New York,11572,East
EH-13765,Edward Hooks,Corporate,United States,Watertown,New York,13601,East
SV-20365,Seth Vernon,Consumer,United States,Lafayette,Louisiana,70506,South
NP-18685,Nora Pelletier,Home Office,United States,San Francisco,California,94109,West
JE-15715,Joe Elijah,Consumer,United States,Broomfield,Colorado,80020,West
AC-10615,Ann Chong,Corporate,United States,New York City,New York,10009,East
AS-10225,Alan Schoenberger,Corporate,United States,Montgomery,Alabama,36116,South
KT-16465,Kean Takahito,Consumer,United States,Glendale,Arizona,85301,West
LW-16825,Laurel Workman,Corporate,United States,Brentwood,California,94513,West
AS-10090,Adam Shillingsburg,Consumer,United States,Springfield,Missouri,65807,Central
JS-16030,Joy Smith,Consumer,United States,Houston,Texas,77036,Central
JW-15955,Joni Wasserman,Consumer,United States,Louisville,Kentucky,40214,South
CM-12190,Charlotte Melton,Consumer,United States,Chicago,Illinois,60623,Central
AM-10705,Anne McFarland,Consumer,United States,Auburn,Alabama,36830,South
RH-19510,Rick Huthwaite,Home Office,United States,Providence,Rhode Island,2908,East
MC-17275,Marc Crier,Consumer,United States,Seattle,Washington,98103,West
CT-11995,Carol Triggs,Consumer,United States,Rochester,Minnesota,55901,Central
SN-20560,Skye Norling,Home Office,United States,Peoria,Arizona,85345,West
CK-12595,Clytie Kelty,Consumer,United States,Philadelphia,Pennsylvania,19134,East
RD-19480,Rick Duston,Consumer,United States,Richmond,Indiana,47374,Central
TP-21130,Theone Pippenger,Consumer,United States,Detroit,Michigan,48227,Central
GG-14650,Greg Guthrie,Corporate,United States,Los Angeles,California,90049,West
ZC-21910,Zuschuss Carroll,Consumer,United States,Pomona,California,91767,West
KA-16525,Kelly Andreada,Consumer,United States,Ontario,California,91761,West
TR-21325,Toby Ritter,Consumer,United States,San Francisco,California,94122,West
MS-17365,Maribeth Schnelling,Consumer,United States,Phoenix,Arizona,85023,West
MM-17260,Magdelene Morse,Consumer,United States,Wilmington,Delaware,19805,East
MP-17470,Mark Packer,Home Office,United States,Moorhead,Minnesota,56560,Central
AH-10120,Adrian Hane,Home Office,United States,Tucson,Arizona,85705,West
SG-20080,Sandra Glassco,Consumer,United States,Redlands,California,92374,West
